runid,recall,precision,f-score
txt.0_ROUGE-4,0.00511,0.00921,0.00648
txt.100_ROUGE-4,0.00339,0.00432,0.00378
txt.101_ROUGE-4,0.00453,0.0056,0.00496
txt.102_ROUGE-4,0.00515,0.00619,0.00556
txt.103_ROUGE-4,0.00599,0.00755,0.00664
txt.104_ROUGE-4,0.0058,0.00727,0.00642
txt.105_ROUGE-4,0.00626,0.00785,0.00691
txt.106_ROUGE-4,0.00537,0.00703,0.00603
txt.107_ROUGE-4,0.00315,0.00462,0.00372
txt.108_ROUGE-4,0.00661,0.00886,0.00747
txt.109_ROUGE-4,0.00387,0.00521,0.00441
txt.10_ROUGE-4,0.0041,0.00804,0.00535
txt.110_ROUGE-4,0.00258,0.00329,0.00288
txt.111_ROUGE-4,0.003,0.00407,0.00341
txt.112_ROUGE-4,0.00312,0.0037,0.00336
txt.113_ROUGE-4,0.00392,0.00502,0.00437
txt.114_ROUGE-4,0.00543,0.00667,0.00592
txt.115_ROUGE-4,0.00386,0.00483,0.00425
txt.116_ROUGE-4,0.00394,0.00534,0.00448
txt.117_ROUGE-4,0.00578,0.00723,0.00635
txt.118_ROUGE-4,0.00486,0.0063,0.00546
txt.119_ROUGE-4,0.00526,0.00694,0.00592
txt.11_ROUGE-4,0.00335,0.00579,0.00417
txt.120_ROUGE-4,0.00384,0.00489,0.00425
txt.121_ROUGE-4,0.00528,0.00674,0.0059
txt.122_ROUGE-4,0.00448,0.00555,0.00494
txt.123_ROUGE-4,0.00459,0.00615,0.00521
txt.124_ROUGE-4,0.00508,0.00633,0.00559
txt.125_ROUGE-4,0.00567,0.00685,0.00617
txt.126_ROUGE-4,0.00511,0.00634,0.00563
txt.127_ROUGE-4,0.00404,0.00486,0.00438
txt.128_ROUGE-4,0.00522,0.00684,0.00586
txt.129_ROUGE-4,0.00435,0.00576,0.00493
txt.12_ROUGE-4,0.0032,0.00582,0.00408
txt.130_ROUGE-4,0.00508,0.00618,0.00553
txt.131_ROUGE-4,0.00334,0.00422,0.00371
txt.132_ROUGE-4,0.00706,0.00862,0.00769
txt.133_ROUGE-4,0.00469,0.00576,0.00513
txt.134_ROUGE-4,0.00502,0.00664,0.00565
txt.135_ROUGE-4,0.00294,0.00354,0.00317
txt.136_ROUGE-4,0.00234,0.00274,0.00252
txt.137_ROUGE-4,0.00427,0.00517,0.00464
txt.138_ROUGE-4,0.00324,0.00441,0.0037
txt.139_ROUGE-4,0.00341,0.00412,0.00371
txt.13_ROUGE-4,0.00328,0.00612,0.00421
txt.140_ROUGE-4,0.00467,0.0057,0.0051
txt.141_ROUGE-4,0.00508,0.00627,0.00557
txt.142_ROUGE-4,0.0031,0.00391,0.00341
txt.143_ROUGE-4,0.00346,0.00457,0.00386
txt.144_ROUGE-4,0.00422,0.0052,0.0046
txt.145_ROUGE-4,0.00589,0.00702,0.00629
txt.146_ROUGE-4,0.00367,0.00436,0.00394
txt.147_ROUGE-4,0.00374,0.00462,0.00407
txt.148_ROUGE-4,0.00465,0.00619,0.00524
txt.149_ROUGE-4,0.00374,0.00454,0.00405
txt.150_ROUGE-4,0.00448,0.00553,0.0049
txt.151_ROUGE-4,0.00541,0.00707,0.00605
txt.152_ROUGE-4,0.00399,0.00474,0.0043
txt.153_ROUGE-4,0.00438,0.00611,0.00506
txt.154_ROUGE-4,0.00592,0.00783,0.00669
txt.155_ROUGE-4,0.00281,0.00307,0.00292
txt.156_ROUGE-4,0.00379,0.00462,0.00413
txt.157_ROUGE-4,0.00521,0.00601,0.00554
txt.158_ROUGE-4,0.00323,0.00367,0.00341
txt.159_ROUGE-4,0.0055,0.00677,0.006
txt.15_ROUGE-4,0.00547,0.009,0.00672
txt.160_ROUGE-4,0.00575,0.00703,0.00631
txt.161_ROUGE-4,0.00473,0.00533,0.00496
txt.162_ROUGE-4,0.00529,0.00642,0.00574
txt.163_ROUGE-4,0.0054,0.00647,0.00585
txt.164_ROUGE-4,0.00562,0.00678,0
txt.165_ROUGE-4,0.00665,0.00704,0.00683
txt.166_ROUGE-4,0.00603,0.00652,0.00624
txt.167_ROUGE-4,0.006,0.00672,0.00633
txt.168_ROUGE-4,0.00683,0.00733,0.00705
txt.169_ROUGE-4,0.00632,0.00669,0.00649
txt.16_ROUGE-4,0.00476,0.00906,0.00615
txt.170_ROUGE-4,0.00692,0.00757,0.00721
txt.171_ROUGE-4,0.00605,0.00638,0.00619
txt.172_ROUGE-4,0.00733,0.00749,0.0074
txt.173_ROUGE-4,0.00617,0.0066,0.00636
txt.174_ROUGE-4,0.00516,0.00554,0.00534
txt.175_ROUGE-4,0.0082,0.00887,0.0085
txt.176_ROUGE-4,0.00652,0.00724,0.00684
txt.177_ROUGE-4,0.0053,0.00599,0.00561
txt.178_ROUGE-4,0.00576,0.00637,0.00603
txt.179_ROUGE-4,0.00731,0.00821,0.00769
txt.17_ROUGE-4,0.00545,0.00929,0.00668
txt.180_ROUGE-4,0.00682,0.00737,0.00708
txt.181_ROUGE-4,0.00571,0.00614,0.0059
txt.182_ROUGE-4,0.00617,0.00686,0.00648
txt.183_ROUGE-4,0.00521,0.00584,0.00548
txt.184_ROUGE-4,0.00698,0.00759,0.00726
txt.185_ROUGE-4,0.00596,0.00643,0.00617
txt.186_ROUGE-4,0.00454,0.00508,0.00477
txt.187_ROUGE-4,0.00453,0.00511,0.00478
txt.188_ROUGE-4,0.00577,0.00638,0.00604
txt.189_ROUGE-4,0.00385,0.00431,0.00405
txt.18_ROUGE-4,0.00497,0.00781,0.00598
txt.190_ROUGE-4,0.00451,0.00515,0.0048
txt.191_ROUGE-4,0.00586,0.00662,0.00619
txt.192_ROUGE-4,0.0052,0.00566,0.0054
txt.193_ROUGE-4,0.00443,0.00489,0.00463
txt.194_ROUGE-4,0.00373,0.00394,0.00383
txt.195_ROUGE-4,0.00532,0.00597,0.0056
txt.196_ROUGE-4,0.00436,0.00478,0.00455
txt.197_ROUGE-4,0.005,0.0055,0.00523
txt.198_ROUGE-4,0.00539,0.0061,0.00571
txt.199_ROUGE-4,0.00505,0.00558,0.00527
txt.19_ROUGE-4,0.00468,0.00716,0.0055
txt.1_ROUGE-4,0.00678,0.01131,0.00828
txt.200_ROUGE-4,0.00761,0.00872,0.00809
txt.201_ROUGE-4,0.00575,0.00642,0.00606
txt.202_ROUGE-4,0.00595,0.00666,0.00626
txt.203_ROUGE-4,0.00495,0.00546,0.00515
txt.204_ROUGE-4,0.004,0.00464,0
txt.205_ROUGE-4,0.0037,0.00418,0.00392
txt.206_ROUGE-4,0.00411,0.00497,0.00447
txt.207_ROUGE-4,0.00559,0.00624,0.00586
txt.208_ROUGE-4,0.00441,0.00501,0.00469
txt.209_ROUGE-4,0.00582,0.0066,0.00616
txt.20_ROUGE-4,0.00501,0.008,0.00601
txt.210_ROUGE-4,0.00665,0.00709,0.00684
txt.211_ROUGE-4,0.00675,0.00757,0.00712
txt.212_ROUGE-4,0.00834,0.00977,0.0089
txt.213_ROUGE-4,0.00655,0.00733,0.0069
txt.214_ROUGE-4,0.00729,0.00775,0.00749
txt.215_ROUGE-4,0.00625,0.00688,0.00653
