runid,recall,precision,f-score
*ROUGE_Warning:,0.006935,0.007704,0.007288
-2_Eval,0.03986,0.04263,0.04116
-3_Eval,0.01843,0.01993,0.01914
.100.H.txt.15_R:0.02506,0.03255,0.05721,0.04098
.100.H.txt.37_R:0.05263,0.02829,0.04863,0.03527
.A.txt.463_R:0.30227,0.27246,0.31908,0.2927
.H.txt.14_R:0.00767,0.00338,0.00605,0.00428
0.00758_F:0.00765,0.00878,0.00898,0.00888
02874_F:0.02685,0.03661,0.04234,0.03912
04082_F:0.04056,0.0345,0.04209,0.03755
071_,0.04096,0.04238,0.04164
1_R:0.03275,0.03325,0.03662,0.03474
6_P:0.01736,0.00993,0.01742,0.0123
786_,0.00605,0.0076,0.00667
8_P:0.03788,0.03554,0.03907,0.03711
A.txt.545_R:0.01527,0.01527,0.01648,0.01585
F:0.03944_,0.01573,0.01712,0.01634
H.txt.255_R:0.01832,0.00475,0.00552,0.00509
OUGE-1_Eval,0.27204,0.27551,0.27376
OUGE-2_Eval,0.03499,0.039,0.03677
R:0.05013_P:0.05376,0.046,0.0514,0.04843
