=====   TOP 5   =====


config.gold.rouge.xml.0  =>  rouge.out.txt.0

ROUGE-1 D0801A-A.txt.326 0.36272
ROUGE-1 D0801A-A.txt.315 0.35768
ROUGE-1 D0801A-A.txt.313 0.35264
ROUGE-1 D0801A-A.txt.319 0.34761
ROUGE-1 D0801A-A.txt.328 0.34509

ROUGE-2 D0801A-A.txt.326 0.11450
ROUGE-2 D0801A-A.txt.329 0.10941
ROUGE-2 D0801A-A.txt.328 0.10687
ROUGE-2 D0801A-A.txt.313 0.10687
ROUGE-2 D0801A-A.txt.191 0.10687

ROUGE-3 D0801A-A.txt.329 0.06170
ROUGE-3 D0801A-A.txt.328 0.06170
ROUGE-3 D0801A-A.txt.326 0.06170
ROUGE-3 D0801A-A.txt.313 0.06170
ROUGE-3 D0801A-A.txt.191 0.06170

ROUGE-4 D0801A-A.txt.8 0.04156
ROUGE-4 D0801A-A.txt.80 0.04156
ROUGE-4 D0801A-A.txt.79 0.04156
ROUGE-4 D0801A-A.txt.77 0.04156
ROUGE-4 D0801A-A.txt.74 0.04156


config.gold.rouge.xml.1  =>  rouge.out.txt.1

ROUGE-1 D0802A-A.txt.194 0.32398
ROUGE-1 D0802A-A.txt.347 0.31633
ROUGE-1 D0802A-A.txt.45 0.30612
ROUGE-1 D0802A-A.txt.367 0.30612
ROUGE-1 D0802A-A.txt.193 0.30612

ROUGE-2 D0802A-A.txt.347 0.07474
ROUGE-2 D0802A-A.txt.193 0.07474
ROUGE-2 D0802A-A.txt.194 0.07216
ROUGE-2 D0802A-A.txt.190 0.06959
ROUGE-2 D0802A-A.txt.192 0.06701

ROUGE-3 D0802A-A.txt.194 0.02344
ROUGE-3 D0802A-A.txt.347 0.02083
ROUGE-3 D0802A-A.txt.193 0.02083
ROUGE-3 D0802A-A.txt.192 0.02083
ROUGE-3 D0802A-A.txt.190 0.02083

ROUGE-4 D0802A-A.txt.5 0.00526
ROUGE-4 D0802A-A.txt.51 0.00526
ROUGE-4 D0802A-A.txt.50 0.00526
ROUGE-4 D0802A-A.txt.4 0.00526
ROUGE-4 D0802A-A.txt.49 0.00526


config.gold.rouge.xml.10  =>  rouge.out.txt.10

ROUGE-1 D0811B-A.txt.221 0.39196
ROUGE-1 D0811B-A.txt.173 0.38945
ROUGE-1 D0811B-A.txt.219 0.38442
ROUGE-1 D0811B-A.txt.222 0.38191
ROUGE-1 D0811B-A.txt.187 0.37940

ROUGE-2 D0811B-A.txt.211 0.11421
ROUGE-2 D0811B-A.txt.212 0.10914
ROUGE-2 D0811B-A.txt.115 0.10660
ROUGE-2 D0811B-A.txt.249 0.10406
ROUGE-2 D0811B-A.txt.199 0.10406

ROUGE-3 D0811B-A.txt.66 0.04359
ROUGE-3 D0811B-A.txt.188 0.04359
ROUGE-3 D0811B-A.txt.187 0.04359
ROUGE-3 D0811B-A.txt.175 0.04359
ROUGE-3 D0811B-A.txt.248 0.04103

ROUGE-4 D0811B-A.txt.70 0.01813
ROUGE-4 D0811B-A.txt.69 0.01813
ROUGE-4 D0811B-A.txt.68 0.01813
ROUGE-4 D0811B-A.txt.67 0.01813
ROUGE-4 D0811B-A.txt.66 0.01813


config.gold.rouge.xml.11  =>  rouge.out.txt.11

ROUGE-1 D0813B-A.txt.168 0.41895
ROUGE-1 D0813B-A.txt.161 0.39152
ROUGE-1 D0813B-A.txt.69 0.38903
ROUGE-1 D0813B-A.txt.185 0.38903
ROUGE-1 D0813B-A.txt.165 0.38903

ROUGE-2 D0813B-A.txt.69 0.07053
ROUGE-2 D0813B-A.txt.168 0.06801
ROUGE-2 D0813B-A.txt.66 0.06045
ROUGE-2 D0813B-A.txt.165 0.06045
ROUGE-2 D0813B-A.txt.161 0.06045

ROUGE-3 D0813B-A.txt.69 0.01781
ROUGE-3 D0813B-A.txt.168 0.01781
ROUGE-3 D0813B-A.txt.97 0.01527
ROUGE-3 D0813B-A.txt.66 0.01527
ROUGE-3 D0813B-A.txt.47 0.01527

ROUGE-4 D0813B-A.txt.80 0.00514
ROUGE-4 D0813B-A.txt.7 0.00514
ROUGE-4 D0813B-A.txt.78 0.00514
ROUGE-4 D0813B-A.txt.76 0.00514
ROUGE-4 D0813B-A.txt.73 0.00514


config.gold.rouge.xml.12  =>  rouge.out.txt.12

